0,1,2
甲乙丙类总计,29059,284
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,17728,283
传染性非典,0,0
艾滋病,1082,271
病毒性肝炎*,6790,4
甲肝,86,0
乙肝,5019,4
丙肝,1522,0
丁肝,2,0
戊肝,133,0
肝炎（未分型）,28,0
"脊
灰",0,0
人感染高致病性禽流感,0,0
"麻
疹",2,0
"出
血热",29,0
"狂
犬病",0,0
乙脑,0,0
登革热,0,0
"炭
疽",4,0
细菌和阿米巴痢疾,336,0
肺结核,5699,7
伤寒+副伤寒,30,0
"流
脑",0,0
"百
日咳",46,0
"白
喉",0,0
新生儿破伤风,0,0
"猩
红热",165,0
"布
病",34,0
"淋
病",333,0
"梅
毒",3144,1
"钩
体病",0,0
血吸虫病,0,0
疟疾,1,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,33,0
丙类传染病合计,11331,1
流行性感冒,711,1
流行性腮腺炎,723,0
风疹,6,0
急性出血性结膜炎,42,0
麻风病,8,0
斑疹伤寒,10,0
黑热病,4,0
包虫病,70,0
丝虫病,0,0
其它感染性腹泻病,4860,0
手足口病,4897,0
