疾病病种,发病数,死亡数,date,year,month,url
甲乙丙类总计,29357.0,237.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
甲乙类传染病合计,14597.0,237.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
鼠疫,0.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
霍乱,0.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
传染性非典型肺炎,0.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
艾滋病,680.0,215.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
病毒性肝炎*,4937.0,5.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
甲型肝炎,158.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
乙型肝炎,3767.0,4.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
丙型肝炎,857.0,1.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
丁型肝炎,4.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
戊型肝炎,88.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
未分型肝炎,63.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
脊髓灰质炎,0.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
人感染高致病性禽流感,0.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
麻疹,46.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
流行性出血热,10.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
狂犬病,4.0,2.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
流行性乙型脑炎,5.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
登革热,1.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
炭疽,2.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
细菌性和阿米巴性痢疾,500.0,1.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
肺结核,5757.0,12.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
伤寒和副伤寒,36.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
流行性脑脊髓膜炎,0.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
百日咳,8.0,0.0,2016-10,2016,10,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2016/11/10/77cea356a5274ac7a1d75b00b137aa3e.shtml
