0,1,2
甲乙丙类总计,26984,317
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,15531,316
传染性非典,0,0
艾滋病,791,301
病毒性肝炎*,6338,7
甲肝,73,0
乙肝,4863,4
丙肝,1259,3
丁肝,1,0
戊肝,116,0
肝炎（未分型）,26,0
"脊
灰",0,0
人感染高致病性禽流感,0,0
"麻
疹",1,0
"出
血热",5,0
"狂
犬病",2,1
乙脑,2,0
登革热,0,0
"炭
疽",3,0
细菌和阿米巴痢疾,251,0
肺结核,4836,7
伤寒+副伤寒,32,0
"流
脑",0,0
"百
日咳",12,0
"白
喉",0,0
新生儿破伤风,0,0
"猩
红热",101,0
"布
病",6,0
"淋
病",286,0
"梅
毒",2833,0
"钩
体病",6,0
血吸虫病,0,0
疟疾,10,0
人感染H7N9禽流感,0,0
"新型冠状病毒感染的肺炎
***",16,0
丙类传染病合计,11453,1
流行性感冒,767,0
流行性腮腺炎,392,0
风疹,3,0
急性出血性结膜炎,27,0
麻风病,3,0
斑疹伤寒,7,0
黑热病,1,0
包虫病,77,0
丝虫病,0,0
其它感染性腹泻病,5494,0
手足口病,4682,1
