0,1,2
甲乙丙类总计,27061,264
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,17864,264
传染性非典型肺炎,0,0
艾滋病,1060,251
病毒性肝炎*,6650,2
甲型肝炎,127,0
乙型肝炎,4973,2
丙型肝炎,1391,0
丁型肝炎,1,0
戊型肝炎,122,0
未分型肝炎,36,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,10,0
流行性出血热,3,0
狂犬病,1,1
流行性乙型脑炎,16,0
登革热,0,0
炭疽,12,0
细菌性和阿米巴性痢疾,517,0
肺结核,5590,9
伤寒和副伤寒,63,0
流行性脑脊髓膜炎,0,0
百日咳,17,0
白喉,0,0
新生儿破伤风,0,0
猩红热,49,0
布鲁氏菌病,12,0
淋病,311,0
梅毒,3504,1
钩端螺旋体病,3,0
血吸虫病,0,0
疟疾,2,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,44,0
丙类传染病合计,9197,0
流行性感冒,579,0
流行性腮腺炎,592,0
风疹,8,0
急性出血性结膜炎,43,0
麻风病,4,0
斑疹伤寒,8,0
黑热病,0,0
包虫病,51,0
丝虫病,0,0
其它感染性腹泻病,5204,0
手足口病,2708,0
