,0,1,2
0,病名,发病数,死亡数**
1,甲乙丙类总计,21977,29
2,甲乙类传染病合计,12942,27
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,29,10
7,病毒性肝炎*,7100,5
8,甲型肝炎,41,0
9,乙型肝炎,6320,4
10,丙型肝炎,519,1
11,丁型肝炎,2,0
12,戊型肝炎,131,0
13,未分型肝炎,87,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,15,0
17,流行性出血热,77,0
18,狂犬病,3,2
19,流行性乙型脑炎,1,0
20,登革热,1,0
21,炭疽,0,0
22,细菌性和阿米巴性痢疾,183,0
23,肺结核,3103,9
24,伤寒和副伤寒,1,0
25,流行性脑脊髓膜炎,0,0
26,百日咳,173,0
27,白喉,0,0
28,新生儿破伤风,1,0
29,猩红热,332,0
30,布鲁氏菌病,263,0
31,淋病,271,0
32,梅毒,1374,0
33,钩端螺旋体病,0,0
34,血吸虫病,0,0
35,疟疾,12,0
36,人感染H7N9禽流感,3,1
37,丙类传染病合计,9035,2
38,流行性感冒,1003,2
39,流行性腮腺炎,315,0
40,风疹,5,0
41,急性出血性结膜炎,78,0
42,麻风病,3,0
43,斑疹伤寒,1,0
44,黑热病,0,0
45,包虫病,0,0
46,丝虫病,0,0
47,其他感染性腹泻病,7189,0
48,手足口病,441,0
