,0,1,2
0,病名,发病数,死亡数**
1,甲乙丙类总计,19710,21
2,甲乙类传染病合计,11100,20
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,32,9
7,病毒性肝炎*,5984,1
8,甲型肝炎,20,0
9,乙型肝炎,5464,1
10,丙型肝炎,329,0
11,丁型肝炎,0,0
12,戊型肝炎,91,0
13,未分型肝炎,80,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,19,0
17,流行性出血热,79,0
18,狂犬病,0,1
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,细菌性和阿米巴性痢疾,150,0
23,肺结核,2533,7
24,伤寒和副伤寒,1,0
25,流行性脑脊髓膜炎,1,0
26,百日咳,180,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,591,0
30,布鲁氏菌病,120,0
31,淋病,329,0
32,梅毒,1059,0
33,钩端螺旋体病,0,0
34,血吸虫病,0,0
35,疟疾,19,0
36,人感染H7N9流感,3,2
37,丙类传染病合计,8610,1
38,流行性感冒,1069,1
39,流行性腮腺炎,407,0
40,风疹,10,0
41,急性出血性结膜炎,67,0
42,麻风病,1,0
43,斑疹伤寒,2,0
44,黑热病,0,0
45,包虫病,1,0
46,丝虫病,0,0
47,其他感染性腹泻病,6301,0
48,手足口病,752,0
