,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,31219,39
2,甲乙类传染病合计,14302,39
3,鼠疫,0,0
4,霍乱,1,0
5,传染性非典型肺炎,0,0
6,艾滋病,139,25
7,病毒性肝炎,8223,3
8,甲型肝炎,39,0
9,乙型肝炎,7112,3
10,丙型肝炎,861,0
11,丁型肝炎,1,0
12,戊型肝炎,135,0
13,肝炎未分型,75,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,9,0
17,出血热,11,0
18,狂犬病,0,0
19,流行性乙型脑炎,1,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,255,0
23,肺结核,2499,11
24,伤寒和副伤寒,12,0
25,流行性脑脊髓膜炎,1,0
26,百日咳,79,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,80,0
30,布鲁氏菌病,48,0
31,淋病,355,0
32,梅毒,2577,0
33,钩端螺旋体病,1,0
34,血吸虫病,0,0
35,疟疾,1,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒肺炎,10,0
38,丙类传染病合计,16917,0
39,流行性感冒,1408,0
40,流行性腮腺炎,597,0
41,风疹,6,0
42,急性出血性结膜炎,360,0
43,麻风病,1,0
44,斑疹伤寒,11,0
45,黑热病,0,0
46,包虫病,0,0
47,丝虫病,0,0
48,其它感染性腹泻病,9949,0
49,手足口病,4585,0
