,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,18149,38
2,甲乙类传染病合计,10141,38
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,25,22
7,病毒性肝炎,5879,1
8,甲型肝炎,30,0
9,乙型肝炎,5075,1
10,丙型肝炎,588,0
11,丁型肝炎,0,0
12,戊型肝炎,148,0
13,肝炎未分型,38,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,4,0
17,出血热,11,0
18,狂犬病,1,1
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,102,0
23,肺结核,1954,14
24,伤寒和副伤寒,8,0
25,流行性脑脊髓膜炎,0,0
26,百日咳,156,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,36,0
30,布鲁氏菌病,23,0
31,淋病,261,0
32,梅毒,1653,0
33,钩端螺旋体病,0,0
34,血吸虫病,0,0
35,疟疾,2,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒肺炎,26,0
38,丙类传染病合计,8008,0
39,流行性感冒,1020,0
40,流行性腮腺炎,432,0
41,风疹,7,0
42,急性出血性结膜炎,265,0
43,麻风病,0,0
44,斑疹伤寒,7,0
45,黑热病,0,0
46,包虫病,0,0
47,丝虫病,0,0
48,其它感染性腹泻病,4764,0
49,手足口病,1513,0
