,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,35125,54
2,甲乙类传染病合计,17443,54
3,鼠疫,0,0
4,霍乱,1,0
5,传染性非典型肺炎,0,0
6,艾滋病,150,31
7,病毒性肝炎,9709,14
8,甲型肝炎,35,0
9,乙型肝炎,8744,0
10,丙型肝炎,720,14
11,丁型肝炎,0,0
12,戊型肝炎,148,0
13,肝炎未分型,62,0
14,脊灰,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,9,0
17,出血热,3,0
18,狂犬病,0,0
19,流行性乙型脑炎,0,1
20,登革热,11,0
21,炭疽,0,0
22,痢疾,131,0
23,肺结核,2353,8
24,伤寒和副伤寒,11,0
25,流脑,0,0
26,百日咳,22,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,35,0
30,布病,42,0
31,淋病,394,0
32,梅毒,2883,0
33,钩端螺旋体病,6,0
34,血吸虫病,0,0
35,疟疾,4,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒感染,1678,0
38,猴痘,1,0
39,丙类传染病合计,17682,0
40,流行性感冒,4052,0
41,流行性腮腺炎,631,0
42,风疹,3,0
43,急性出血性结膜炎,461,0
44,麻风病,1,0
45,斑疹伤寒,21,0
46,黑热病,0,0
47,包虫病,0,0
48,丝虫病,0,0
49,其他感染性腹泻病,7808,0
50,手足口病,4705,0
