,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,29542,41
2,甲乙类传染病合计,15040,41
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,130,30
7,病毒性肝炎,8065,1
8,甲型肝炎,52,0
9,乙型肝炎,6858,1
10,丙型肝炎,938,0
11,丁型肝炎,2,0
12,戊型肝炎,95,0
13,肝炎未分型,120,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,3,0
17,出血热,13,1
18,狂犬病,2,2
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,542,0
23,肺结核,3297,7
24,伤寒和副伤寒,13,0
25,流行性脑脊髓膜炎,0,0
26,百日咳,0,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,28,0
30,布鲁氏菌病,37,0
31,淋病,289,0
32,梅毒,2618,0
33,钩端螺旋体病,0,0
34,血吸虫病,3,0
35,疟疾,0,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒肺炎,0,0
38,丙类传染病合计,14502,0
39,流行性感冒,1282,0
40,流行性腮腺炎,727,0
41,风疹,4,0
42,急性出血性结膜炎,376,0
43,麻风病,1,0
44,斑疹伤寒,8,0
45,黑热病,0,0
46,包虫病,0,0
47,丝虫病,0,0
48,其它感染性腹泻病,11935,0
