,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,51991,33
2,甲乙类传染病合计,14750,33
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,94,22
7,病毒性肝炎,6776,0
8,甲型肝炎,62,0
9,乙型肝炎,5564,0
10,丙型肝炎,793,0
11,丁型肝炎,1,0
12,戊型肝炎,157,0
13,肝炎未分型,199,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,28,0
17,出血热,32,0
18,狂犬病,1,0
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,587,0
23,肺结核,4173,11
24,伤寒和副伤寒,24,0
25,流行性脑脊髓膜炎,1,0
26,百日咳,18,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,188,0
30,布鲁氏菌病,16,0
31,淋病,350,0
32,梅毒,2450,0
33,钩端螺旋体病,0,0
34,血吸虫病,1,0
35,疟疾,11,0
36,人感染H7N9禽流感,0,0
37,丙类传染病合计,37241,0
38,流行性感冒,1052,0
39,流行性腮腺炎,2055,0
40,风疹,26,0
41,急性出血性结膜炎,294,0
42,麻风病,2,0
43,斑疹伤寒,11,0
44,黑热病,0,0
45,包虫病,0,0
46,丝虫病,0,0
47,其它感染性腹泻病,8747,0
48,手足口病,25054,0
