,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,27107,38
2,甲乙类传染病合计,12746,38
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,99,18
7,病毒性肝炎,7760,1
8,甲型肝炎,42,0
9,乙型肝炎,6667,1
10,丙型肝炎,856,0
11,丁型肝炎,3,0
12,戊型肝炎,124,0
13,肝炎未分型,68,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,3,0
17,出血热,6,0
18,狂犬病,1,1
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,84,0
23,肺结核,2064,18
24,伤寒和副伤寒,10,0
25,流行性脑脊髓膜炎,0,0
26,百日咳,9,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,61,0
30,布鲁氏菌病,21,0
31,淋病,267,0
32,梅毒,2281,0
33,钩端螺旋体病,0,0
34,血吸虫病,0,0
35,疟疾,2,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒肺炎,78,0
38,丙类传染病合计,14361,0
39,流行性感冒,6019,0
40,流行性腮腺炎,469,0
41,风疹,1,0
42,急性出血性结膜炎,249,0
43,麻风病,0,0
44,斑疹伤寒,8,0
45,黑热病,0,0
46,包虫病,1,0
47,丝虫病,0,0
48,其它感染性腹泻病,4388,0
49,手足口病,3226,0
