,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,30171,34
2,甲乙类传染病合计,14210,34
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,82,23
7,病毒性肝炎,6999,1
8,甲型肝炎,41,0
9,乙型肝炎,5806,1
10,丙型肝炎,908,0
11,丁型肝炎,2,0
12,戊型肝炎,99,0
13,肝炎未分型,143,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,10,0
17,出血热,16,0
18,狂犬病,2,2
19,流行性乙型脑炎,0,0
20,登革热,6,0
21,炭疽,0,0
22,痢疾,407,0
23,肺结核,3176,6
24,伤寒和副伤寒,21,0
25,流行性脑脊髓膜炎,0,0
26,百日咳,17,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,153,0
30,布鲁氏菌病,5,0
31,淋病,348,0
32,梅毒,2961,2
33,钩端螺旋体病,0,0
34,血吸虫病,2,0
35,疟疾,5,0
36,人感染H7N9禽流感,0,0
37,丙类传染病合计,15961,0
38,流行性感冒,1569,0
39,流行性腮腺炎,1038,0
40,风疹,12,0
41,急性出血性结膜炎,266,0
42,麻风病,0,0
43,斑疹伤寒,23,0
44,黑热病,0,0
45,包虫病,0,0
46,丝虫病,0,0
47,其它感染性腹泻病,8237,0
48,手足口病,4816,0
