,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,27929,28
2,甲乙类传染病合计,13259,28
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,130,22
7,病毒性肝炎,6499,1
8,甲型肝炎,50,0
9,乙型肝炎,5232,1
10,丙型肝炎,942,0
11,丁型肝炎,2,0
12,戊型肝炎,105,0
13,肝炎未分型,168,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,15,0
17,出血热,54,1
18,狂犬病,1,1
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,398,0
23,肺结核,3398,3
24,伤寒和副伤寒,12,0
25,流行性脑脊髓膜炎,2,0
26,百日咳,21,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,168,0
30,布鲁氏菌病,11,0
31,淋病,402,0
32,梅毒,2135,0
33,钩端螺旋体病,0,0
34,血吸虫病,1,0
35,疟疾,12,0
36,人感染H7N9禽流感,0,0
37,丙类传染病合计,14670,0
38,流行性感冒,1182,0
39,流行性腮腺炎,1345,0
40,风疹,8,0
41,急性出血性结膜炎,262,0
42,麻风病,0,0
43,斑疹伤寒,12,0
44,黑热病,0,0
45,包虫病,0,0
46,丝虫病,0,0
47,其它感染性腹泻病,7197,0
48,手足口病,4664,0
