Unnamed: 0,疾病病种,发病数,死亡数,date,year,month,url
0,甲乙丙类总计,22714.0,18.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
1,甲乙类传染病合计,8954.0,18.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
2,鼠疫,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
3,霍乱,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
4,传染性非典型肺炎,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
5,艾滋病,76.0,8.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
6,病毒性肝炎,2016.0,5.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
7,甲型肝炎,44.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
8,乙型肝炎,1369.0,3.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
9,丙型肝炎,218.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
10,戊型肝炎,231.0,1.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
11,肝炎未分型,154.0,1.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
12,脊髓灰质炎,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
13,人感染高致病性禽流感,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
14,甲型H1N1流感,54.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
15,麻疹,8.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
