中文解释,链接,Referer,年份,月份
2023年11月上海市法定报告传染病疫情,/yqxx/20231221/12d9abc2b20a4565a2c50213a898a424.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,11
2023年10月上海市法定报告传染病疫情,/yqxx/20231124/3f94b88453564096bb8eb9e9a4588323.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,10
2023年9月上海市法定报告传染病疫情,/yqxx/20231030/3361c9c38eca46c4bce4add0130affcb.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,9
2023年8月上海市法定报告传染病疫情,/yqxx/20230927/a7827e8f4f3848489175de6f3204107d.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,8
2023年7月上海市法定报告传染病疫情,/yqxx/20230829/d41e0ea77ac546e9bbd9b648429c6f4e.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,7
2023年6月上海市法定报告传染病疫情,/yqxx/20230728/f6ae092c85354a20b07ad31c766115d1.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,6
2023年5月上海市法定报告传染病疫情,/yqxx/20230628/99f4e943c746471583e4b63a63463a80.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,5
2023年4月上海市法定报告传染病疫情,/yqxx/20230526/390c181d201c4ee2a096eb7282833c52.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,4
2023年3月上海市法定报告传染病疫情,/yqxx/20230429/3b7c0e4bd1ea4bf28da9b908919e64ef.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,3
2023年2月上海市法定报告传染病疫情,/yqxx/20230429/c1028c985ead435581ec28565bdb0277.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,2
2023年1月上海市法定报告传染病疫情,/yqxx/20230429/53e345a73a024477998bedc871b1b905.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2023,1
2022年12月上海市法定报告传染病疫情,/yqxx/20230119/8e9b2217890e401094fae841d57849a6.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,12
2022年11月上海市法定报告传染病疫情,/yqxx/20221230/b65f7204643047338461e1bba066339d.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,11
2022年10月上海市法定报告传染病疫情,/yqxx/20221125/a035d07b329c4ef58faee6f2382402ab.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,10
2022年9月上海市法定报告传染病疫情,/yqxx/20221024/1ea27049136a48e28a194a3d84d59c8a.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,9
2022年8月上海市法定报告传染病疫情,/yqxx/20220929/df4773880a2a479889f944db0fc7619d.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,8
2022年7月上海市法定报告传染病疫情,/yqxx/20220819/d08d025a66d2455aba59ea2012ad7d26.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,7
2022年6月上海市法定报告传染病疫情,/yqxx/20220728/8f49dc78ee674559a9500cc61572bda7.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,6
2022年5月上海市法定报告传染病疫情,/yqxx/20220624/260c0dd8e8264aa8a8944d50d09d7de6.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,5
2022年4月上海市法定报告传染病疫情,/yqxx/20220520/ac50007db3fa49ae992ff5bd624c78d7.html,https://wsjkw.sh.gov.cn/yqxx/index.html,2022,4
2022年3月上海市法定报告传染病疫情,/yqxx/20220426/189d4c560f3f445c825cdf6e92587ca8.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2022,3
2022年2月上海市法定报告传染病疫情,/yqxx/20220401/6810a0e2ad0f4c4d9866d3dca33be2d1.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2022,2
2022年1月上海市法定报告传染病疫情,/yqxx/20220226/f112cf3a5a2246d2a85863df12922a06.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2022,1
2021年12月上海市法定报告传染病疫情,/yqxx/20220127/cfc5327d26554bb18d63ceb27e7d1196.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,12
2021年11月上海市法定报告传染病疫情,/yqxx/20211223/d6146b23bb934630aa63ddea2e8634f2.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,11
2021年10月上海市法定报告传染病疫情,/yqxx/20211128/a45647f308304fada090bfa30dfcd996.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,10
2021年9月上海市法定报告传染病疫情,/yqxx/20211029/a4fe5c0bf72f4f4cb79880712d8e68ac.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,9
2021年8月上海市法定报告传染病疫情,/yqxx/20210926/874c30e97e774e5781262ad579cce6d5.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,8
2021年7月上海市法定报告传染病疫情,/yqxx/20210827/8bf05cb3be31447a942dca5ac9b49a2c.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,7
2021年6月上海市法定报告传染病疫情,/yqxx/20210726/7e752c34608c4fd4804fb3d8078a373a.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,6
2021年5月上海市法定报告传染病疫情,/yqxx/20210628/0fc367e6324442aa929ebf9c666c7edc.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,5
2021年4月上海市法定报告传染病疫情,/yqxx/20210528/26f704d1930b49c787480cfbe8f29ea0.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,4
2021年3月上海市法定报告传染病疫情,/yqxx/20210423/ceb0ec8734554250bc456660e68ca913.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,3
2021年2月上海市法定报告传染病疫情,/yqxx/20210326/a952d5fdcbb8410c82a801ce801df525.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,2
2021年1月上海市法定报告传染病疫情,/yqxx/20210225/d228fdde8d7140dc9b76914e29425cc8.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2021,1
2020年12月上海市法定报告传染病疫情,/yqxx/20210126/669924e9ffd84d2f82443764f7e91e13.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2020,12
2020年11月上海市法定报告传染病疫情,/yqxx/20201226/32c1004d956148a1b343bdec846d1023.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2020,11
2020年10月上海市法定报告传染病疫情,/yqxx/20201127/2705e4d9d9364d59a0d2cc10a7ab9bb6.html,https://wsjkw.sh.gov.cn/yqxx/index_2.html,2020,10
2017年7月上海市法定报告传染病疫情,/yqxx/20180815/0012-57650.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,7
2017年6月上海市法定报告传染病疫情,/yqxx/20180815/0012-57552.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,6
2017年5月上海市法定报告传染病疫情,/yqxx/20180815/0012-57492.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,5
2017年4月上海市法定报告传染病疫情,/yqxx/20180815/0012-57393.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,4
2017年3月上海市法定报告传染病疫情,/yqxx/20180815/0012-57309.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,3
2017年2月上海市法定报告传染病疫情,/yqxx/20180815/0012-57140.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,2
2017年1月上海市法定报告传染病疫情,/yqxx/20180815/0012-57004.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2017,1
2016年12月上海市法定报告传染病疫情,/yqxx/20180815/0012-56908.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,12
2016年11月上海市法定报告传染病疫情,/yqxx/20180815/0012-56792.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,11
2016年10月上海市法定报告传染病疫情,/yqxx/20180815/0012-56745.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,10
2016年9月上海市法定报告传染病疫情,/yqxx/20180815/0012-60209.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,9
2016年8月上海市法定报告传染病疫情,/yqxx/20180815/0012-60155.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,8
2016年7月上海市法定报告传染病疫情,/yqxx/20180815/0012-60075.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,7
2016年6月上海市法定报告传染病疫情,/yqxx/20180815/0012-59983.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,6
2016年5月上海市法定报告传染病疫情,/yqxx/20180815/0012-59927.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,5
2016年4月上海市法定报告传染病疫情,/yqxx/20180815/0012-59889.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,4
2016年3月上海市法定报告传染病疫情,/yqxx/20180815/0012-59804.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,3
2016年2月上海市法定报告传染病疫情,/yqxx/20180815/0012-59753.html,https://wsjkw.sh.gov.cn/yqxx/index_5.html,2016,2
