0,1,2,3
2016年2月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,1471,475,1946
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,18,10,28
病毒性肝炎,138,35,173
其中：（1）甲肝,19,0,19
（2）乙肝,25,16,41
（3）丙肝,0,4,4
（4）丁肝,0,0,0
（5）戊肝,55,8,63
（6）肝炎（未分型）,39,7,46
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,0,5,5
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,6,2,8
肺结核,302,125,427
伤寒和副伤寒,1,0,1
流行性脑脊髓膜炎,1,0,1
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,94,33,127
布鲁氏菌病,0,0,0
淋病,303,125,428
梅毒,607,140,747
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,0,0,0
人感染H7N9禽流感,1,0,1
丙类传染病合计,1358,515,1873
流行性感冒,514,65,579
流行性腮腺炎,61,23,84
风疹,4,1,5
急性出血性结膜炎,0,0,0
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,482,84,566
手足口病,297,342,639
甲乙丙类总计,2829,990,3819
