0,1,2,3
2016年6月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2101,878,2979
鼠疫,0,0,0
霍乱,1,0,1
传染性非典型肺炎,0,0,0
艾滋病,25,7,32
病毒性肝炎,139,45,184
其中：（1）甲肝,11,1,12
（2）乙肝,50,28,78
（3）丙肝,2,1,3
（4）丁肝,0,0,0
（5）戊肝,42,6,48
（6）肝炎（未分型）,34,9,43
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,8,6,14
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,9,5,14
肺结核,392,254,646
伤寒和副伤寒,0,1,1
流行性脑脊髓膜炎,0,0,0
百日咳,0,1,1
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,226,96,322
布鲁氏菌病,0,0,0
淋病,360,183,543
梅毒,941,276,1217
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,0,4,4
人感染H7N9禽流感,0,0,0
丙类传染病合计,6366,5161,11527
流行性感冒,43,19,62
流行性腮腺炎,161,91,252
风疹,3,3,6
急性出血性结膜炎,4,0,4
麻风病,1,0,1
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,498,112,610
手足口病,5656,4936,10592
甲乙丙类总计,8467,6039,14506
