0,1,2,3
2016年7月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2004,928,2932
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,14,25,39
病毒性肝炎,121,42,163
其中：（1）甲肝,13,8,21
（2）乙肝,33,19,52
（3）丙肝,7,1,8
（4）丁肝,0,0,0
（5）戊肝,36,12,48
（6）肝炎（未分型）,32,2,34
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,8,13,21
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,8,3,11
肺结核,390,253,643
伤寒和副伤寒,1,0,1
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,53,36,89
布鲁氏菌病,0,4,4
淋病,418,214,632
梅毒,991,337,1328
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,0,1,1
人感染H7N9禽流感,0,0,0
丙类传染病合计,7299,4972,12271
流行性感冒,36,8,44
流行性腮腺炎,130,123,253
风疹,0,1,1
急性出血性结膜炎,3,0,3
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,617,163,780
手足口病,6513,4677,11190
甲乙丙类总计,9303,5900,15203
