0,1,2,3
2016年11月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2099,877,2976
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,27,14,41
病毒性肝炎,152,39,191
其中：（1）甲肝,13,3,16
（2）乙肝,36,15,51
（3）丙肝,2,3,5
（4）丁肝,1,0,1
（5）戊肝,46,13,59
（6）肝炎（未分型）,54,5,59
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,3,1,4
流行性出血热,0,0,0
狂犬病,1,0,1
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,4,5,9
肺结核,342,214,556
伤寒和副伤寒,1,0,1
流行性脑脊髓膜炎,0,0,0
百日咳,0,1,1
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,177,74,251
布鲁氏菌病,0,0,0
淋病,374,219,593
梅毒,1017,308,1325
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,1,2,3
人感染H7N9禽流感,0,0,0
丙类传染病合计,4397,2676,7073
流行性感冒,492,64,556
流行性腮腺炎,149,45,194
风疹,0,1,1
急性出血性结膜炎,1,0,1
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,232,71,303
手足口病,3523,2495,6018
甲乙丙类总计,6496,3553,10049
