0,1,2,3
2017年7月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,1993,856,2849
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,31,13,44
病毒性肝炎,120,45,165
其中：（1）甲肝,18,2,20
（2）乙肝,31,18,49
（3）丙肝,5,3,8
（4）丁肝,0,0,0
（5）戊肝,46,15,61
（6）肝炎（未分型）,20,7,27
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,1,3,4
流行性出血热,0,0,0
狂犬病,1,0,1
流行性乙型脑炎,0,0,0
登革热,1,1,2
炭疽,0,0,0
细菌性和阿米巴性痢疾,5,2,7
肺结核,348,201,549
伤寒和副伤寒,4,2,6
流行性脑脊髓膜炎,0,0,0
百日咳,4,10,14
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,100,67,167
布鲁氏菌病,0,0,0
淋病,364,230,594
梅毒,1012,278,1290
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,2,3,5
人感染H7N9禽流感,0,0,0
丙类传染病合计,2600,1482,4082
流行性感冒,245,48,293
流行性腮腺炎,128,134,262
风疹,1,1,2
急性出血性结膜炎,2,0,2
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,451,116,567
手足口病,1773,1183,2956
甲乙丙类总计,4593,2338,6931
