疾病病种,发病数,date,year,month,url
甲乙类传染病合计,2440.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
鼠疫,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
霍乱,1.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
传染性非典型肺炎,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
艾滋病,104.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
病毒性肝炎,162.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
其中：（1）甲肝,15.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
（2）乙肝,63.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
（3）丙肝,6.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
（4）丁肝,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
（5）戊肝,51.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
（6）肝炎（未分型）,27.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
脊髓灰质炎,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
人感染高致病性禽流感,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
麻疹,10.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
流行性出血热,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
狂犬病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
流行性乙型脑炎,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
登革热,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
炭疽,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
细菌性和阿米巴性痢疾,32.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
肺结核,380.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
伤寒和副伤寒,4.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
流行性脑脊髓膜炎,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
百日咳,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
白喉,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
新生儿破伤风,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
猩红热,112.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
布鲁氏菌病,1.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
淋病,522.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
梅毒,1108.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
钩端螺旋体病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
血吸虫病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
疟疾,4.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
人感染H7N9禽流感,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
丙类传染病合计,5530.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
流行性感冒,227.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
流行性腮腺炎,212.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
风疹,1.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
急性出血性结膜炎,3.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
麻风病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
斑疹伤寒,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
黑热病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
包虫病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
丝虫病,0.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
其它感染性腹泻病,501.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
手足口病,4586.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
甲乙丙类总计,7970.0,2016-10,2016,10,/yqxx/20180815/0012-56745.html
甲乙类传染病合计,2976.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
鼠疫,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
霍乱,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
传染性非典型肺炎,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
艾滋病,41.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
病毒性肝炎,191.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
其中：（1）甲肝,16.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
（2）乙肝,51.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
（3）丙肝,5.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
（4）丁肝,1.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
（5）戊肝,59.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
（6）肝炎（未分型）,59.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
脊髓灰质炎,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
人感染高致病性禽流感,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
麻疹,4.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
流行性出血热,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
狂犬病,1.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
流行性乙型脑炎,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
登革热,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
炭疽,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
细菌性和阿米巴性痢疾,9.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
肺结核,556.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
伤寒和副伤寒,1.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
流行性脑脊髓膜炎,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
百日咳,1.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
白喉,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
新生儿破伤风,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
猩红热,251.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
布鲁氏菌病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
淋病,593.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
梅毒,1325.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
钩端螺旋体病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
血吸虫病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
疟疾,3.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
人感染H7N9禽流感,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
丙类传染病合计,7073.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
流行性感冒,556.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
流行性腮腺炎,194.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
风疹,1.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
急性出血性结膜炎,1.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
麻风病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
斑疹伤寒,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
黑热病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
包虫病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
丝虫病,0.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
其它感染性腹泻病,303.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
手足口病,6018.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
甲乙丙类总计,10049.0,2016-11,2016,11,/yqxx/20180815/0012-56792.html
甲乙类传染病合计,3101.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
鼠疫,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
霍乱,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
传染性非典型肺炎,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
艾滋病,41.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
病毒性肝炎,217.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
其中：（1）甲肝,21.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
（2）乙肝,65.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
（3）丙肝,4.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
（4）丁肝,1.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
（5）戊肝,86.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
（6）肝炎（未分型）,40.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
脊髓灰质炎,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
人感染高致病性禽流感,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
麻疹,1.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
流行性出血热,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
狂犬病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
流行性乙型脑炎,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
登革热,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
炭疽,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
细菌性和阿米巴性痢疾,10.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
肺结核,618.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
伤寒和副伤寒,3.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
流行性脑脊髓膜炎,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
百日咳,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
白喉,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
新生儿破伤风,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
猩红热,470.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
布鲁氏菌病,1.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
淋病,561.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
梅毒,1170.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
钩端螺旋体病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
血吸虫病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
疟疾,8.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
人感染H7N9禽流感,1.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
丙类传染病合计,5842.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
流行性感冒,1118.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
流行性腮腺炎,163.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
风疹,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
急性出血性结膜炎,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
麻风病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
斑疹伤寒,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
黑热病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
包虫病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
丝虫病,0.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
其它感染性腹泻病,548.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
手足口病,4013.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
