0,1,2,3
2016年8月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2100,872,2972
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,27,24,51
病毒性肝炎,136,45,181
其中：（1）甲肝,14,4,18
（2）乙肝,38,18,56
（3）丙肝,4,1,5
（4）丁肝,0,0,0
（5）戊肝,44,11,55
（6）肝炎（未分型）,36,11,47
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,7,20,27
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,1,1
登革热,0,2,2
炭疽,0,0,0
细菌性和阿米巴性痢疾,9,3,12
肺结核,388,250,638
伤寒和副伤寒,2,1,3
流行性脑脊髓膜炎,0,0,0
百日咳,2,1,3
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,38,18,56
布鲁氏菌病,1,0,1
淋病,471,210,681
梅毒,1019,295,1314
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,0,2,2
人感染H7N9禽流感,0,0,0
丙类传染病合计,4530,2703,7233
流行性感冒,51,15,66
流行性腮腺炎,133,98,231
风疹,0,0,0
急性出血性结膜炎,2,0,2
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,1054,226,1280
手足口病,3290,2364,5654
甲乙丙类总计,6630,3575,10205
