0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
"附件
2020年3月全省法定报告传染病发病、死亡统计表




病名


发病数


死亡数**






甲乙丙类总计


20329


326




甲类传染病合计


0


0




鼠疫


0


0




霍乱


0


0




乙类传染病合计


16670


325




传染性非典


0


0




艾滋病


1608


316




病毒性肝炎*


5457


2




甲肝


84


0




乙肝


4125


1




丙肝


1127


1




丁肝


1


0




戊肝


108


0




肝炎（未分型）


12


0




脊灰


0


0




人感染高致病性禽流感


0


0




麻疹


10


0




出血热


3


0




狂犬病


2


2




乙脑


0


0




登革热


0


0




炭疽


5


0




痢疾


303


0




肺结核


5825


3




伤寒+副伤寒


24


0




流脑


1


0




百日咳


78


0




白喉


0


0




新生儿破伤风


1


0




猩红热


21


0




布病


6


0




淋病


123


0




梅毒


3176


2




钩体病


0


0




血吸虫病


0


0




疟疾


13


0




人感染H7N9禽流感


0


0




新型冠状病毒肺炎


14


0




丙类传染病合计


3659


1




流行性感冒


1133


0




流行性腮腺炎


338


0




风疹


9


0




急性出血性结膜炎


46


0




麻风病


6


0




斑疹伤寒


5


0




黑热病


0


0




包虫病


26


0




丝虫病


0


0




其它感染性腹泻病


1936


1




手足口病


160


0




注：*病毒性肝炎的发病数、死亡数为甲型肝炎、乙型肝炎、丙型肝炎、丁型肝炎、戊型肝炎、未分型肝炎报告发病数、死亡数的合计；
**通过传染病网络直报系统报告的死亡数据不作为传染病死因顺位依据。",病名,发病数,死亡数**,甲乙丙类总计,20329,326,甲类传染病合计,0,0,鼠疫,0,0,霍乱,0,0,乙类传染病合计,16670,325,传染性非典,0,0,艾滋病,1608,316,病毒性肝炎*,5457,2,甲肝,84,0,乙肝,4125,1,丙肝,1127,1,丁肝,1,0,戊肝,108,0,肝炎（未分型）,12,0,脊灰,0,0,人感染高致病性禽流感,0,0,麻疹,10,0,出血热,3,0,狂犬病,2,2,乙脑,0,0,登革热,0,0,炭疽,5,0,痢疾,303,0,肺结核,5825,3,伤寒+副伤寒,24,0,流脑,1,0,百日咳,78,0,白喉,0,0,新生儿破伤风,1,0,猩红热,21,0,布病,6,0,淋病,123,0,梅毒,3176,2,钩体病,0,0,血吸虫病,0,0,疟疾,13,0,人感染H7N9禽流感,0,0,新型冠状病毒肺炎,14,0,丙类传染病合计,3659,1,流行性感冒,1133,0,流行性腮腺炎,338,0,风疹,9,0,急性出血性结膜炎,46,0,麻风病,6,0,斑疹伤寒,5,0,黑热病,0,0,包虫病,26,0,丝虫病,0,0,其它感染性腹泻病,1936,1,手足口病,160,0
病名,发病数,死亡数**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甲乙丙类总计,20329,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甲类传染病合计,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼠疫,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霍乱,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乙类传染病合计,16670,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
传染性非典,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾滋病,1608,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
病毒性肝炎*,5457,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
