0,1,2
甲乙丙类总计,38961,338
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,19420,337
传染性非典,0,0
艾滋病,564,323
病毒性肝炎*,8312,5
甲肝,75,0
乙肝,6498,5
丙肝,1576,0
丁肝,4,0
戊肝,125,0
肝炎（未分型）,34,0
"脊
灰",0,0
人感染高致病性禽流感,0,0
"麻
疹",10,0
"出
血热",9,0
"狂
犬病",2,1
乙脑,2,0
登革热,0,0
"炭
疽",7,0
细菌和阿米巴痢疾,481,0
肺结核,5587,7
伤寒+副伤寒,51,0
"流
脑",3,0
"百
日咳",196,0
"白
喉",0,0
新生儿破伤风,0,0
"猩
红热",160,0
"布
病",22,0
"淋
病",324,0
"梅
毒",3636,1
"钩
体病",1,0
血吸虫病,1,0
疟疾,3,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎***,49,0
丙类传染病合计,19541,1
流行性感冒,897,0
流行性腮腺炎,613,0
风疹,9,0
急性出血性结膜炎,48,0
麻风病,4,0
斑疹伤寒,5,0
黑热病,4,0
包虫病,57,1
丝虫病,0,0
其它感染性腹泻病,5535,0
手足口病,12369,0
