0,1,2
甲乙丙类总计,70117,396
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,35676,396
传染性非典型肺炎,0,0
艾滋病,743,326
病毒性肝炎*,15583,42
甲型肝炎,104,0
乙型肝炎,13074,6
丙型肝炎,2178,36
丁型肝炎,0,0
戊型肝炎,190,0
未分型肝炎,37,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
流行性出血热,17,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,34,0
炭疽,4,0
细菌性和阿米巴性痢疾,215,0
肺结核,4664,25
伤寒和副伤寒,33,0
流行性脑脊髓膜炎,1,0
百日咳,44,0
白喉,0,0
新生儿破伤风,0,0
猩红热,131,0
布鲁氏菌病,31,0
淋病,407,0
梅毒,4955,3
钩端螺旋体病,1,0
血吸虫病,0,0
疟疾,10,0
人感染H7N9禽流感,0,0
新型冠状病毒感染,8790,0
猴痘,12,0
丙类传染病合计,34441,0
流行性感冒,9511,0
流行性腮腺炎,576,0
风疹,2,0
急性出血性结膜炎,127,0
麻风病,2,0
斑疹伤寒,16,0
黑热病,3,0
包虫病,77,0
丝虫病,0,0
其它感染性腹泻病,7425,0
手足口病,16702,0
