0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
"附件
2020年2月全省法定报告传染病发病、死亡统计表






病名


发病数


死亡数**






甲乙丙类总计


15461


303




甲类传染病合计


0


0




鼠疫


0


0




霍乱


0


0




乙类传染病合计


10248


303




传染性非典型肺炎


0


0




艾滋病


705


285




病毒性肝炎*


3396


5




甲型肝炎


78


0




乙型肝炎


2574


3




丙型肝炎


653


1




丁型肝炎


1


0




戊型肝炎


74


1




未分型肝炎


16


0




脊髓灰质炎


0


0




人感染高致病性禽流感


0


0




麻疹


2


0




流行性出血热


6


0




狂犬病


3


2




流行性乙型脑炎


0


0




登革热


1


0




炭疽


1


0




细菌性和阿米巴性痢疾


210


0




肺结核


3573


7




伤寒和副伤寒


20


0




流行性脑脊髓膜炎


0


0




百日咳


60


0




白喉


0


0




新生儿破伤风


0


0




猩红热


19


0




布鲁氏菌病


2


0




淋病


109


0




梅毒


1799


2




钩端螺旋体病


0


0




血吸虫病


0


0




疟疾


11


0




人感染H7N9禽流感


0


0




新型冠状病毒肺炎


331


2




丙类传染病合计


5194


0




流行性感冒


2551


0




流行性腮腺炎


501


0




风疹


18


0




急性出血性结膜炎


35


0




麻风病


1


0




斑疹伤寒


6


0




黑热病


0


0




包虫病


7


0




丝虫病


0


0




其它感染性腹泻病


1660


0




手足口病


415


0",病名,发病数,死亡数**,甲乙丙类总计,15461,303,甲类传染病合计,0,0,鼠疫,0,0,霍乱,0,0,乙类传染病合计,10248,303,传染性非典型肺炎,0,0,艾滋病,705,285,病毒性肝炎*,3396,5,甲型肝炎,78,0,乙型肝炎,2574,3,丙型肝炎,653,1,丁型肝炎,1,0,戊型肝炎,74,1,未分型肝炎,16,0,脊髓灰质炎,0,0,人感染高致病性禽流感,0,0,麻疹,2,0,流行性出血热,6,0,狂犬病,3,2,流行性乙型脑炎,0,0,登革热,1,0,炭疽,1,0,细菌性和阿米巴性痢疾,210,0,肺结核,3573,7,伤寒和副伤寒,20,0,流行性脑脊髓膜炎,0,0,百日咳,60,0,白喉,0,0,新生儿破伤风,0,0,猩红热,19,0,布鲁氏菌病,2,0,淋病,109,0,梅毒,1799,2,钩端螺旋体病,0,0,血吸虫病,0,0,疟疾,11,0,人感染H7N9禽流感,0,0,新型冠状病毒肺炎,331,2,丙类传染病合计,5194,0,流行性感冒,2551,0,流行性腮腺炎,501,0,风疹,18,0,急性出血性结膜炎,35,0,麻风病,1,0,斑疹伤寒,6,0,黑热病,0,0,包虫病,7,0,丝虫病,0,0,其它感染性腹泻病,1660,0,手足口病,415,0
病名,发病数,死亡数**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甲乙丙类总计,15461,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甲类传染病合计,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼠疫,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霍乱,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乙类传染病合计,10248,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
传染性非典型肺炎,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾滋病,705,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
病毒性肝炎*,3396,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甲型肝炎,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乙型肝炎,2574,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丙型肝炎,653,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丁型肝炎,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
戊型肝炎,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分型肝炎,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脊髓灰质炎,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
