0,1,2
病名,发病数,死亡数**
甲乙丙类总计,57047,370
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,18129,367
传染性非典型肺炎,0,0
艾滋病,1408,348
病毒性肝炎*,6341,1
甲型肝炎,152,0
乙型肝炎,4782,1
丙型肝炎,1190,0
丁型肝炎,3,0
戊型肝炎,167,0
未分型肝炎,47,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,10,0
流行性出血热,15,0
狂犬病,0,0
流行性乙型脑炎,1,0
登革热,2,0
炭疽,4,0
细菌性和阿米巴性痢疾,330,0
肺结核,6273,16
伤寒和副伤寒,23,0
流行性脑脊髓膜炎,0,0
百日咳,238,0
白喉,0,0
新生儿破伤风,0,0
猩红热,102,0
布鲁氏菌病,7,0
淋病,237,0
梅毒,3127,2
钩端螺旋体病,0,0
血吸虫病,1,0
疟疾,10,0
人感染H7N9禽流感,0,0
丙类传染病合计,38918,3
流行性感冒,28815,2
流行性腮腺炎,953,0
风疹,267,0
急性出血性结膜炎,54,0
麻风病,7,0
斑疹伤寒,6,0
黑热病,0,0
包虫病,74,0
丝虫病,0,0
其它感染性腹泻病,3786,1
手足口病,4956,0
