0,1,2
甲乙丙类总计,22030,248
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,13619,248
传染性非典,0,0
艾滋病,857,242
病毒性肝炎*,5349,3
甲肝,71,0
乙肝,4153,2
丙肝,997,1
丁肝,0,0
戊肝,105,0
肝炎（未分型）,23,0
"脊
灰",0,0
人感染高致病性禽流感,0,0
"麻
疹",2,0
"出
血热",6,0
"狂
犬病",0,0
乙脑,0,0
登革热,0,0
"炭
疽",1,0
细菌和阿米巴痢疾,304,1
肺结核,4277,1
伤寒+副伤寒,34,0
"流
脑",1,0
"百
日咳",18,1
"白
喉",0,0
新生儿破伤风,0,0
"猩
红热",48,0
"布
病",10,0
"淋
病",263,0
"梅
毒",2416,0
"钩
体病",1,0
血吸虫病,0,0
疟疾,5,0
人感染H7N9禽流感,0,0
新型冠状病毒感染的肺炎***,27,0
丙类传染病合计,8411,0
流行性感冒,451,0
流行性腮腺炎,247,0
风疹,7,0
急性出血性结膜炎,19,0
麻风病,3,0
斑疹伤寒,4,0
黑热病,1,0
包虫病,46,0
丝虫病,0,0
其它感染性腹泻病,6166,0
手足口病,1467,0
