0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,17575,15
甲乙类传染病合计,11229,15
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,59,14
病毒性肝炎*,1481,0
甲型肝炎,18,0
乙型肝炎,948,0
丙型肝炎,507,0
丁型肝炎,0,0
戊型肝炎,6,0
肝炎（未分型）,2,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
流行性出血热,2,0
狂犬病,0,0
流行性乙型脑炎,5,0
登革热,0,0
皮肤炭疽,10,0
细菌性和阿米巴性痢疾,160,0
肺结核,1305,1
伤寒和副伤寒,7,0
流行性脑脊髓膜炎,0,0
百日咳,38,0
白喉,0,0
新生儿破伤风,0,0
猩红热,51,0
布鲁氏菌病,540,0
淋病,72,0
梅毒,660,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,3,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,6835,0
丙类传染病合计,6346,0
流行性感冒,2819,0
流行性腮腺炎,195,0
风疹,0,0
急性出血性结膜炎,88,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,3,0
包虫病,26,0
丝虫病,0,0
其它感染性腹泻病,1749,0
手足口病,1466,0
