0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,41017,19
甲乙类传染病合计,8464,19
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,63,15
病毒性肝炎*,1883,0
甲型肝炎,26,0
乙型肝炎,1164,0
丙型肝炎,666,0
丁型肝炎,0,0
戊型肝炎,21,0
肝炎（未分型）,6,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
流行性出血热,2,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
皮肤炭疽,3,0
细菌性和阿米巴性痢疾,84,0
肺结核,1617,4
伤寒和副伤寒,0,0
流行性脑脊髓膜炎,0,0
百日咳,6,0
白喉,0,0
新生儿破伤风,0,0
猩红热,6,0
布鲁氏菌病,488,0
淋病,44,0
梅毒,616,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,2,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,3649,0
丙类传染病合计,32553,0
流行性感冒,29455,0
流行性腮腺炎,154,0
风疹,1,0
急性出血性结膜炎,121,0
麻风病,0,0
斑疹伤寒,1,0
黑热病,0,0
包虫病,25,0
丝虫病,0,0
其它感染性腹泻病,2789,0
手足口病,7,0
