0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,48045,23
甲乙类传染病合计,6045,23
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,71,21
病毒性肝炎*,1771,1
甲型肝炎,10,0
乙型肝炎,1222,0
丙型肝炎,529,1
丁型肝炎,0,0
戊型肝炎,4,0
肝炎（未分型）,6,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,5,0
流行性出血热,15,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
皮肤炭疽,6,0
细菌性和阿米巴性痢疾,51,0
肺结核,1303,1
伤寒和副伤寒,0,0
流行性脑脊髓膜炎,0,0
百日咳,138,0
白喉,0,0
新生儿破伤风,0,0
猩红热,142,0
布鲁氏菌病,386,0
淋病,62,0
梅毒,812,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,5,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,1278,0
猴痘,0,0
丙类传染病合计,42000,0
流行性感冒,40168,0
流行性腮腺炎,142,0
风疹,3,0
急性出血性结膜炎,49,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,1,0
包虫病,36,0
丝虫病,0,0
其它感染性腹泻病,1229,0
手足口病,372,0
