0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,14134,16
甲乙类传染病合计,10801,16
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,36,12
病毒性肝炎*,1781,1
甲型肝炎,21,0
乙型肝炎,1112,1
丙型肝炎,631,0
丁型肝炎,0,0
戊型肝炎,13,0
肝炎（未分型）,4,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
流行性出血热,1,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
皮肤炭疽,4,0
细菌性和阿米巴性痢疾,77,0
肺结核,1630,3
伤寒和副伤寒,1,0
流行性脑脊髓膜炎,0,0
百日咳,9,0
白喉,0,0
新生儿破伤风,0,0
猩红热,5,0
布鲁氏菌病,476,0
淋病,70,0
梅毒,494,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,1,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,6215,0
丙类传染病合计,3333,0
流行性感冒,1461,0
流行性腮腺炎,118,0
风疹,0,0
急性出血性结膜炎,58,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,2,0
包虫病,28,0
丝虫病,0,0
其它感染性腹泻病,1650,0
手足口病,16,0
