0,1,2,3
2017年4月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,1992,819,2811
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,17,17,34
病毒性肝炎,156,33,189
其中：（1）甲肝,25,5,30
（2）乙肝,29,12,41
（3）丙肝,6,0,6
（4）丁肝,0,0,0
（5）戊肝,72,13,85
（6）肝炎（未分型）,24,3,27
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,2,3,5
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,1,1
炭疽,0,0,0
细菌性和阿米巴性痢疾,6,1,7
肺结核,311,215,526
伤寒和副伤寒,3,2,5
流行性脑脊髓膜炎,0,0,0
百日咳,2,4,6
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,317,129,446
布鲁氏菌病,0,0,0
淋病,299,197,496
梅毒,878,216,1094
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,1,1,2
人感染H7N9禽流感,0,0,0
丙类传染病合计,1192,585,1777
流行性感冒,312,42,354
流行性腮腺炎,124,68,192
风疹,0,0,0
急性出血性结膜炎,1,0,1
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,229,57,286
手足口病,526,418,944
甲乙丙类总计,3184,1404,4588
