0,1,2,3
2016年4月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2213,899,3112
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,34,17,51
病毒性肝炎,141,42,183
其中：（1）甲肝,21,6,27
（2）乙肝,46,24,70
（3）丙肝,4,0,4
（4）丁肝,0,0,0
（5）戊肝,43,8,51
（6）肝炎（未分型）,27,4,31
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,4,9,13
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,3,1,4
炭疽,0,0,0
细菌性和阿米巴性痢疾,11,1,12
肺结核,367,237,604
伤寒和副伤寒,0,0,0
流行性脑脊髓膜炎,0,1,1
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,231,127,358
布鲁氏菌病,0,0,0
淋病,411,163,574
梅毒,1009,299,1308
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,2,2,4
人感染H7N9禽流感,0,0,0
丙类传染病合计,2126,1775,3901
流行性感冒,392,61,453
流行性腮腺炎,144,66,210
风疹,6,6,12
急性出血性结膜炎,0,0,0
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,275,58,333
手足口病,1309,1584,2893
甲乙丙类总计,4339,2674,7013
