0,1,2,3
2017年3月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2171,815,2986
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,22,16,38
病毒性肝炎,220,45,265
其中：（1）甲肝,50,2,52
（2）乙肝,54,17,71
（3）丙肝,14,4,18
（4）丁肝,0,0,0
（5）戊肝,82,15,97
（6）肝炎（未分型）,20,7,27
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,6,3,9
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,4,0,4
肺结核,352,242,594
伤寒和副伤寒,0,0,0
流行性脑脊髓膜炎,0,0,0
百日咳,1,1,2
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,160,71,231
布鲁氏菌病,0,0,0
淋病,390,221,611
梅毒,1013,216,1229
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,2,0,2
人感染H7N9禽流感,1,0,1
丙类传染病合计,1526,578,2104
流行性感冒,498,97,595
流行性腮腺炎,101,44,145
风疹,0,0,0
急性出血性结膜炎,1,0,1
麻风病,0,1,1
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,547,124,671
手足口病,379,312,691
甲乙丙类总计,3697,1393,5090
