0,1,2,3
2016年5月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2149,948,3097
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,34,14,48
病毒性肝炎,134,56,190
其中：（1）甲肝,19,3,22
（2）乙肝,42,28,70
（3）丙肝,1,0,1
（4）丁肝,0,0,0
（5）戊肝,47,15,62
（6）肝炎（未分型）,25,10,35
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,3,6,9
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,4,3,7
肺结核,380,257,637
伤寒和副伤寒,4,0,4
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,337,135,472
布鲁氏菌病,2,0,2
淋病,336,173,509
梅毒,915,303,1218
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,0,1,1
人感染H7N9禽流感,0,0,0
丙类传染病合计,3406,3283,6689
流行性感冒,101,37,138
流行性腮腺炎,161,72,233
风疹,2,5,7
急性出血性结膜炎,0,0,0
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,319,73,392
手足口病,2823,3096,5919
甲乙丙类总计,5555,4231,9786
