0,1,2,3
2017年5月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2475,938,3413
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,25,12,37
病毒性肝炎,180,38,218
其中：（1）甲肝,29,8,37
（2）乙肝,38,17,55
（3）丙肝,10,1,11
（4）丁肝,0,0,0
（5）戊肝,85,11,96
（6）肝炎（未分型）,18,1,19
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,3,1,4
流行性出血热,0,1,1
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,5,4,9
肺结核,347,204,551
伤寒和副伤寒,2,0,2
流行性脑脊髓膜炎,0,0,0
百日咳,3,6,9
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,570,233,803
布鲁氏菌病,0,1,1
淋病,325,190,515
梅毒,1013,247,1260
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,2,1,3
人感染H7N9禽流感,0,0,0
丙类传染病合计,1356,757,2113
流行性感冒,183,31,214
流行性腮腺炎,144,57,201
风疹,1,0,1
急性出血性结膜炎,0,0,0
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,318,82,400
手足口病,710,587,1297
甲乙丙类总计,3831,1695,5526
