0,1,2,3
2016年3月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2266,921,3187
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,27,18,45
病毒性肝炎,188,61,249
其中：（1）甲肝,30,10,40
（2）乙肝,48,21,69
（3）丙肝,8,2,10
（4）丁肝,0,0,0
（5）戊肝,67,19,86
（6）肝炎（未分型）,35,9,44
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,13,11,24
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,5,2,7
肺结核,378,260,638
伤寒和副伤寒,1,0,1
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,168,67,235
布鲁氏菌病,1,0,1
淋病,463,187,650
梅毒,1022,314,1336
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,0,1,1
人感染H7N9禽流感,0,0,0
丙类传染病合计,1840,1154,2994
流行性感冒,505,103,608
流行性腮腺炎,147,34,181
风疹,6,8,14
急性出血性结膜炎,0,0,0
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,435,41,476
手足口病,747,968,1715
甲乙丙类总计,4106,2075,6181
