0,1,2,3
2017年6月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2489,1062,3551
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,41,32,73
病毒性肝炎,152,43,195
其中：（1）甲肝,17,3,20
（2）乙肝,38,17,55
（3）丙肝,6,1,7
（4）丁肝,0,0,0
（5）戊肝,61,16,77
（6）肝炎（未分型）,30,6,36
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,0,3,3
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,2,1,3
炭疽,0,0,0
细菌性和阿米巴性痢疾,6,4,10
肺结核,380,265,645
伤寒和副伤寒,1,1,2
流行性脑脊髓膜炎,0,0,0
百日咳,1,11,12
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,410,204,614
布鲁氏菌病,0,0,0
淋病,403,222,625
梅毒,1086,275,1361
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,7,1,8
人感染H7N9禽流感,0,0,0
丙类传染病合计,1808,1166,2974
流行性感冒,70,10,80
流行性腮腺炎,129,76,205
风疹,1,0,1
急性出血性结膜炎,2,1,3
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,329,96,425
手足口病,1277,983,2260
甲乙丙类总计,4297,2228,6525
