0,1,2,3
2017年1月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,1752,640,2392
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,14,11,25
病毒性肝炎,161,40,201
其中：（1）甲肝,18,2,20
（2）乙肝,40,24,64
（3）丙肝,3,1,4
（4）丁肝,0,0,0
（5）戊肝,70,11,81
（6）肝炎（未分型）,30,2,32
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,1,0,1
流行性出血热,1,2,3
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,1,1,2
炭疽,0,0,0
细菌性和阿米巴性痢疾,4,1,5
肺结核,258,135,393
伤寒和副伤寒,0,0,0
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,220,97,317
布鲁氏菌病,0,0,0
淋病,354,180,534
梅毒,734,171,905
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,3,1,4
人感染H7N9禽流感,1,1,2
丙类传染病合计,2039,737,2776
流行性感冒,681,101,782
流行性腮腺炎,75,39,114
风疹,0,0,0
急性出血性结膜炎,1,0,1
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,470,75,545
手足口病,812,522,1334
甲乙丙类总计,3791,1377,5168
