0,1,2,3
2016年12月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2225,876,3101
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,28,13,41
病毒性肝炎,170,47,217
其中：（1）甲肝,19,2,21
（2）乙肝,48,17,65
（3）丙肝,4,0,4
（4）丁肝,1,0,1
（5）戊肝,63,23,86
（6）肝炎（未分型）,35,5,40
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,1,0,1
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,9,1,10
肺结核,363,255,618
伤寒和副伤寒,3,0,3
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,332,138,470
布鲁氏菌病,0,1,1
淋病,359,202,561
梅毒,954,216,1170
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,6,2,8
人感染H7N9禽流感,0,1,1
丙类传染病合计,3917,1925,5842
流行性感冒,988,130,1118
流行性腮腺炎,122,41,163
风疹,0,0,0
急性出血性结膜炎,0,0,0
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,426,122,548
手足口病,2381,1632,4013
甲乙丙类总计,6142,2801,8943
