0,1,2,3
2016年10月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,1747,693,2440
鼠疫,0,0,0
霍乱,0,1,1
传染性非典型肺炎,0,0,0
艾滋病,75,29,104
病毒性肝炎,121,41,162
其中：（1）甲肝,14,1,15
（2）乙肝,42,21,63
（3）丙肝,5,1,6
（4）丁肝,0,0,0
（5）戊肝,41,10,51
（6）肝炎（未分型）,19,8,27
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,3,7,10
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,24,8,32
肺结核,254,126,380
伤寒和副伤寒,4,0,4
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,81,31,112
布鲁氏菌病,0,1,1
淋病,350,172,522
梅毒,834,274,1108
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,1,3,4
人感染H7N9禽流感,0,0,0
丙类传染病合计,3467,2063,5530
流行性感冒,187,40,227
流行性腮腺炎,157,55,212
风疹,1,0,1
急性出血性结膜炎,3,0,3
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,422,79,501
手足口病,2697,1889,4586
甲乙丙类总计,5214,2756,7970
