0,1,2
病名,发病数,死亡数
甲乙丙类总计,92308,88
甲乙类传染病合计,13344,73
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,84,57
病毒性肝炎,6844,7
甲型肝炎,15,0
乙型肝炎,5136,5
丙型肝炎,1659,2
丁型肝炎,0,0
戊型肝炎,31,0
肝炎未分型,3,0
脊灰,0,0
人禽流感,0,0
麻疹,1,0
出血热,5,0
狂犬病,1,4
乙脑,0,0
登革热,2,0
炭疽,0,0
细菌性和阿米巴性痢疾,201,0
肺结核,3891,3
伤寒和副伤寒,5,0
流脑,6,0
百日咳,31,0
白喉,0,0
新生儿破伤风,1,0
猩红热,134,0
布病,109,0
淋病,239,0
梅毒,1335,0
钩体病,0,0
血吸虫病,0,0
疟疾,33,0
人感染H7N9禽流感,0,0
新型冠状病毒感染的肺炎,422,2
丙类传染病合计,78964,15
流行性感冒,72667,11
流行性腮腺炎,885,1
风疹,7,0
急性出血性结膜炎,96,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,1,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,4050,3
手足口病,1257,0
