0,1,2
病名,发病数,死亡数
甲乙丙类总计,56519,153
甲乙类传染病合计,14909,152
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,519,138
病毒性肝炎,8045,1
甲型肝炎,11,0
乙型肝炎,6009,1
丙型肝炎,1964,0
丁型肝炎,0,0
戊型肝炎,56,0
肝炎未分型,5,0
脊灰,0,0
人禽流感,0,0
麻疹,6,0
出血热,123,3
狂犬病,1,4
乙脑,0,0
登革热,0,0
炭疽,0,0
细菌性和阿米巴性痢疾,385,0
肺结核,3487,6
伤寒和副伤寒,4,0
流脑,1,0
百日咳,37,0
白喉,0,0
新生儿破伤风,0,0
猩红热,52,0
布病,318,0
淋病,300,0
梅毒,1625,0
钩体病,0,0
血吸虫病,0,0
疟疾,2,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,4,0
丙类传染病合计,41610,1
流行性感冒,34900,1
流行性腮腺炎,480,0
风疹,3,0
急性出血性结膜炎,242,0
麻风病,0,0
斑疹伤寒,1,0
黑热病,3,0
包虫病,3,0
丝虫病,0,0
其它感染性腹泻病,3871,0
手足口病,2107,0
