0,1,2
病名,发病数,死亡数
甲乙丙类总计,34493,95
甲乙类传染病合计,17795,95
鼠 疫,0,0
霍 乱,0,0
传染性非典,0,0
艾滋病,227,84
病毒性肝炎,8898,3
甲型肝炎,34,0
乙型肝炎,6446,2
丙型肝炎,2330,1
丁型肝炎,1,0
戊型肝炎,59,0
肝炎未分型,28,0
脊 灰,0,0
人禽流感,0,0
麻 疹,30,0
出 血 热,7,0
狂 犬 病,3,3
乙脑,0,0
登革热,2,0
炭 疽,0,0
细菌性和阿米巴性痢疾,800,0
肺结核,5870,5
伤寒和副伤寒,15,0
流 脑,1,0
百 日 咳,8,0
白 喉,0,0
新生儿破伤风,0,0
猩 红 热,145,0
布 病,284,0
淋 病,284,0
梅 毒,1206,0
钩 体 病,0,0
血吸虫病,0,0
疟疾,11,0
人感染H7N9禽流感,4,0
丙类传染病合计,16698,0
流行性感冒,1795,0
流行性腮腺炎,3086,0
风疹,28,0
急性出血性结膜炎,267,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,3364,0
手足口病,8157,0
