0,1,2
病名,发病数,死亡数
甲乙丙类总计,20272,60
甲乙类传染病合计,13697,60
鼠 疫,0,0
霍 乱,0,0
传染性非典,0,0
艾滋病,120,52
病毒性肝炎,6303,0
甲型肝炎,43,0
乙型肝炎,4390,0
丙型肝炎,1789,0
戊型肝炎,48,0
肝炎未分型,33,0
脊 灰,0,0
人禽流感,0,0
麻 疹,548,1
出 血 热,5,0
狂 犬 病,5,4
乙脑,0,0
登革热,1,0
炭 疽,0,0
细菌性和阿米巴性痢疾,493,0
肺结核,4587,3
伤寒和副伤寒,5,0
流 脑,0,0
百 日 咳,7,0
白 喉,0,0
新生儿破伤风,1,0
猩 红 热,136,0
布 病,210,0
淋 病,181,0
梅 毒,1075,0
钩 体 病,0,0
血吸虫病,0,0
疟疾,20,0
人感染H7N9禽流感,0,0
丙类传染病合计,6575,0
流行性感冒,1466,0
流行性腮腺炎,1306,0
风疹,21,0
急性出血性结膜炎,87,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,2134,0
手足口病,1561,0
