0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,15657,17
甲乙类传染病合计,10600,17
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,93,17
病毒性肝炎*,1717,0
甲型肝炎,20,0
乙型肝炎,1098,0
丙型肝炎,583,0
丁型肝炎,0,0
戊型肝炎,12,0
肝炎（未分型）,4,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
流行性出血热,1,0
狂犬病,0,0
流行性乙型脑炎,9,0
登革热,0,0
皮肤炭疽,38,0
细菌性和阿米巴性痢疾,255,0
肺结核,1491,0
伤寒和副伤寒,7,0
流行性脑脊髓膜炎,0,0
百日咳,58,0
白喉,0,0
新生儿破伤风,0,0
猩红热,30,0
布鲁氏菌病,772,0
淋病,83,0
梅毒,801,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,3,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,5241,0
丙类传染病合计,5057,0
流行性感冒,1532,0
流行性腮腺炎,164,0
风疹,3,0
急性出血性结膜炎,82,0
麻风病,1,0
斑疹伤寒,0,0
黑热病,1,0
包虫病,25,0
丝虫病,0,0
其它感染性腹泻病,2267,0
手足口病,982,0
