0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,14639,21
甲乙类传染病合计,7140,21
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,70,19
病毒性肝炎*,1501,1
甲型肝炎,20,0
乙型肝炎,945,0
丙型肝炎,527,1
丁型肝炎,0,0
戊型肝炎,6,0
肝炎（未分型）,3,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,2,0
流行性出血热,6,0
狂犬病,0,0
流行性乙型脑炎,1,0
登革热,1,0
皮肤炭疽,9,0
细菌性和阿米巴性痢疾,102,0
肺结核,1286,1
伤寒和副伤寒,1,0
流行性脑脊髓膜炎,0,0
百日咳,47,0
白喉,0,0
新生儿破伤风,0,0
猩红热,91,0
布鲁氏菌病,426,0
淋病,68,0
梅毒,647,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,1,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,2881,0
猴痘,0,0
丙类传染病合计,7499,0
流行性感冒,3626,0
流行性腮腺炎,147,0
风疹,3,0
急性出血性结膜炎,68,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,1,0
包虫病,15,0
丝虫病,0,0
其它感染性腹泻病,1018,0
手足口病,2621,0
