0,1,2
病种,发病数,死亡数
甲乙丙类传染病总计,17124,19
甲乙类传染病合计,10616,19
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,47,15
病毒性肝炎*,1643,1
甲型肝炎,20,0
乙型肝炎,1098,1
丙型肝炎,516,0
丁型肝炎,0,0
戊型肝炎,7,0
肝炎（未分型）,2,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,3,0
流行性出血热,0,0
狂犬病,0,0
流行性乙型脑炎,2,0
登革热,2,0
皮肤炭疽,6,0
细菌性和阿米巴性痢疾,241,0
肺结核,1500,3
伤寒和副伤寒,3,0
流行性脑脊髓膜炎,0,0
百日咳,23,0
白喉,0,0
新生儿破伤风,0,0
猩红热,56,0
布鲁氏菌病,663,0
淋病,50,0
梅毒,721,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,5,0
人感染H7N9禽流感,0,0
新型冠状病毒感染**,5651,0
丙类传染病合计,6508,0
流行性感冒,2300,0
流行性腮腺炎,197,0
风疹,6,0
急性出血性结膜炎,76,0
麻风病,0,0
斑疹伤寒,1,0
黑热病,4,0
包虫病,18,0
丝虫病,0,0
其它感染性腹泻病,2461,0
手足口病,1445,0
