0,1,2,3
病名,发病数,死亡数,
甲乙丙类总计,10323,65,
甲乙类总计,8230,65,
鼠疫,0,0,
霍乱,0,0,
传染性非典型肺炎,0,0,
艾滋病,42,53,
病毒性肝炎,3197,0,
甲肝,20,0,
乙肝,2517,0,
丙肝,640,0,
丁肝,1,0,
戊肝,13,0,
肝炎（未分型）,6,0,
脊髓灰质炎,0,0,
人感染高致病性禽流感,0,0,
麻疹,3,0,
出血热,0,0,
狂犬病,0,0,
流行性乙型脑炎,0,0,
登革热,0,0,
炭疽,5,0,
细菌性和阿米巴性痢疾,141,0,
肺结核,2025,12,
伤寒+副伤寒,5,0,
流行性脑脊髓膜炎,0,0,
百日咳,0,0,
白喉,0,0,
新生儿破伤风,0,0,
猩红热,31,0,
布病,626,0,
淋病,88,0,
梅毒,2067,0,
钩端螺旋体病,0,0,
血吸虫病,0,0,
疟疾,0,0,
人感染H7N9禽流感,0,0,
新型冠状病毒肺炎,0,0,
丙类传染病合计,2093,0,
流行性感冒,43,0,
流行性腮腺炎,147,0,
风疹,2,0,
急性出血性结膜炎,1,0,
麻风病,1,0,
斑疹伤寒,0,0,
黑热病,0,0,
包虫病,91,0,
丝虫病,0,0,
其他感染性腹泻病,1546,0,
手足口病,262,0,
,,,
