疾病病种,发病数,死亡数,date,year,month,url
甲乙丙类总计,7116.0,70.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
甲乙类总计,6214.0,70.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
鼠疫,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
霍乱,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
传染性非典型肺炎,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
艾滋病,96.0,62.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
病毒性肝炎,2753.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
甲肝,26.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
乙肝,2165.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
丙肝,549.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
丁肝,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
戊肝,9.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
肝炎（未分型）,4.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
脊髓灰质炎,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
人感染高致病性禽流感,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
麻疹,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
出血热,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
狂犬病,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
流行性乙型脑炎,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
登革热,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
炭疽,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
细菌性和阿米巴性痢疾,77.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
肺结核,1249.0,8.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
伤寒+副伤寒,3.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
流行性脑脊髓膜炎,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
百日咳,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
白喉,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
新生儿破伤风,1.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
猩红热,17.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
布病,240.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
淋病,67.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
梅毒,1657.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
钩端螺旋体病,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
血吸虫病,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
疟疾,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
人感染H7N9禽流感,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
新型冠状病毒肺炎,54.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
丙类传染病合计,902.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
流行性感冒,57.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
流行性腮腺炎,144.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
风疹,1.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
急性出血性结膜炎,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
麻风病,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
斑疹伤寒,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
黑热病,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
包虫病,91.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
丝虫病,0.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
其他感染性腹泻病,570.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
手足口病,39.0,0.0,2020-10,2020,10,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml
甲乙丙类总计,5578.0,52.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
甲乙类总计,4758.0,51.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
鼠疫,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
霍乱,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
传染性非典型肺炎,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
艾滋病,72.0,47.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
病毒性肝炎,2128.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
甲肝,20.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
乙肝,1639.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
丙肝,444.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
丁肝,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
戊肝,18.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
肝炎（未分型）,7.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
脊髓灰质炎,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
人感染高致病性禽流感,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
麻疹,1.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
出血热,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
狂犬病,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
流行性乙型脑炎,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
登革热,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
炭疽,0.0,0.0,2020-11,2020,11,https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml
