0,1,2
病名,发病数,死亡数
甲、乙、丙类合计,2286,34
甲、乙类合计,2102,34
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,9,26
病毒性肝炎,615,1
甲肝,6,0
乙肝,511,1
丙肝,96,0
丁肝,0,0
戊肝,2,0
肝炎（未分型）,0,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,0,0
出血热,0,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
炭疽,0,0
细菌性和阿米巴性痢疾,14,0
肺结核,372,7
伤寒+副伤寒,1,0
流行性脑脊髓膜炎,0,0
百日咳,1,0
白喉,0,0
新生儿破伤风,0,0
猩红热,0,0
布病,100,0
淋病,16,0
梅毒,331,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,643,0
丙类合计,184,0
流行性感冒,18,0
流行性腮腺炎,20,0
风疹,1,0
急性出血性结膜炎,1,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,10,0
丝虫病,0,0
其它感染性腹泻,119,0
手足口病,15,0
