0,1,2,3
"病
名",发病数,死亡数,
甲乙丙类总计,7116,70,
甲乙类总计,6214,70,
鼠疫,0,0,
霍乱,0,0,
传染性非典型肺炎,0,0,
艾滋病,96,62,
病毒性肝炎,2753,0,
甲肝,26,0,
乙肝,2165,0,
丙肝,549,0,
丁肝,0,0,
戊肝,9,0,
肝炎（未分型）,4,0,
脊髓灰质炎,0,0,
人感染高致病性禽流感,0,0,
麻疹,0,0,
出血热,0,0,
狂犬病,0,0,
流行性乙型脑炎,0,0,
登革热,0,0,
炭疽,0,0,
细菌性和阿米巴性痢疾,77,0,
肺结核,1249,8,
伤寒+副伤寒,3,0,
流行性脑脊髓膜炎,0,0,
百日咳,0,0,
白喉,0,0,
新生儿破伤风,1,0,
猩红热,17,0,
布病,240,0,
淋病,67,0,
梅毒,1657,0,
钩端螺旋体病,0,0,
血吸虫病,0,0,
疟疾,0,0,
人感染H7N9禽流感,0,0,
新型冠状病毒肺炎,54,0,
丙类传染病合计,902,0,
流行性感冒,57,0,
流行性腮腺炎,144,0,
风疹,1,0,
急性出血性结膜炎,0,0,
麻风病,0,0,
斑疹伤寒,0,0,
黑热病,0,0,
包虫病,91,0,
丝虫病,0,0,
其他感染性腹泻病,570,0,
手足口病,39,0,
,,,
