0,1,2
病名,发病数,死亡数
甲乙丙类总计,9742,61
甲乙类总计,8085,61
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,125,46
病毒性肝炎,2833,1
甲肝,29,0
乙肝,2225,1
丙肝,562,0
丁肝,0,0
戊肝,14,0
肝炎（未分型）,3,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,2,0
出血热,0,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
炭疽,1,0
细菌性和阿米巴性痢疾,246,0
肺结核,2253,13
伤寒+副伤寒,5,0
流行性脑脊髓膜炎,0,0
百日咳,1,0
白喉,0,0
新生儿破伤风,0,0
猩红热,20,0
布病,402,0
淋病,66,0
梅毒,1568,1
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,563,0
丙类传染病合计,1657,0
流行性感冒,58,0
流行性腮腺炎,172,0
风疹,0,0
急性出血性结膜炎,1,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,129,0
丝虫病,0,0
其他感染性腹泻病,1266,0
手足口病,31,0
