,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,75780,62
2,甲乙类传染病合计,54524,62
3,鼠 疫,0,0
4,霍乱,1,0
5,传染性非典型肺炎,0,0
6,艾滋病,114,41
7,病毒性肝炎,10229,10
8,甲型肝炎,56,0
9,乙型肝炎,8844,1
10,丙型肝炎,1060,9
11,丁型肝炎,1,0
12,戊型肝炎,179,0
13,肝炎未分型,89,0
14,脊 灰,0,0
15,人感染高致病性禽流感,0,0
16,麻 疹,6,0
17,出血热,10,0
18,狂犬病,1,0
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭 疽,0,0
22,痢疾,154,0
23,肺结核,2591,11
24,伤寒和副伤寒,15,0
25,流 脑,1,0
26,百日咳,6,0
27,白 喉,0,0
28,新生儿破伤风,0,0
29,猩红热,88,0
30,布 病,52,0
31,淋 病,334,0
32,梅 毒,2927,0
33,钩端螺旋体病,0,0
34,血吸虫病,0,0
35,疟疾,8,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒感染,37987,0
38,丙类传染病合计,21256,0
39,流行性感冒,6712,0
40,流行性腮腺炎,471,0
41,风疹,5,0
42,急性出血性结膜炎,360,0
43,麻风病,0,0
44,斑疹伤寒,57,0
45,黑热病,0,0
46,包虫病,0,0
47,丝虫病,0,0
48,其它感染性腹泻病,10213,0
49,手足口病,3438,0
