,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,37938,25
2,甲乙类传染病合计,13476,24
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,76,13
7,病毒性肝炎,7486,1
8,甲型肝炎,39,0
9,乙型肝炎,6259,0
10,丙型肝炎,959,1
11,丁型肝炎,1,0
12,戊型肝炎,98,0
13,肝炎未分型,130,0
14,脊髓灰质炎,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,8,0
17,出血热,34,0
18,狂犬病,1,1
19,流行性乙型脑炎,0,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,183,0
23,肺结核,2931,9
24,伤寒和副伤寒,7,0
25,流行性脑脊髓膜炎,0,0
26,百日咳,0,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,58,0
30,布鲁氏菌病,30,0
31,淋病,349,0
32,梅毒,2308,0
33,钩端螺旋体病,0,0
34,血吸虫病,2,0
35,疟疾,2,0
36,人感染H7N9禽流感,0,0
37,新型冠状病毒肺炎,1,0
38,丙类传染病合计,24462,1
39,流行性感冒,1522,0
40,流行性腮腺炎,618,0
41,风疹,3,0
42,急性出血性结膜炎,229,0
43,麻风病,1,0
44,斑疹伤寒,18,0
45,黑热病,0,0
46,包虫病,0,0
47,丝虫病,0,0
48,其它感染性腹泻病,6920,1
