,0,1,2
0,疾病病种,本期发病数,本期死亡数
1,甲乙丙类传染病总计,54029,59
2,甲乙类传染病合计,22955,59
3,鼠疫,0,0
4,霍乱,0,0
5,传染性非典型肺炎,0,0
6,艾滋病,165,45
7,病毒性肝炎,9514,7
8,甲型肝炎,33,0
9,乙型肝炎,8418,1
10,丙型肝炎,838,6
11,丁型肝炎,2,0
12,戊型肝炎,140,0
13,肝炎未分型,83,0
14,脊灰,0,0
15,人感染高致病性禽流感,0,0
16,麻疹,5,0
17,出血热,12,0
18,狂犬病,0,0
19,流行性乙型脑炎,1,0
20,登革热,0,0
21,炭疽,0,0
22,痢疾,176,0
23,肺结核,2571,6
24,伤寒和副伤寒,21,0
25,流脑,2,0
26,百日咳,4,0
27,白喉,0,0
28,新生儿破伤风,0,0
29,猩红热,106,0
30,布病,50,0
31,淋病,314,0
32,梅毒,2753,0
33,钩端螺旋体病,0,0
34,血吸虫病,0,0
35,疟疾,9,1
36,人感染H7N9禽流感,0,0
37,新型冠状病毒感染,7252,0
38,丙类传染病合计,31074,0
39,流行性感冒,3661,0
40,流行性腮腺炎,521,0
41,风疹,5,0
42,急性出血性结膜炎,340,0
43,麻风病,0,0
44,斑疹伤寒,8,0
45,黑热病,0,0
46,包虫病,0,0
47,丝虫病,0,0
48,其它感染性腹泻病,11126,0
49,手足口病,15413,0
