0,1,2
疾病病种,本期发病数,本期死亡数
甲乙丙类总计,224112,158
甲乙类合计,67771,158
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,405,135
肝炎,25356,12
甲肝,174,0
乙肝,21822,3
丙肝,2953,9
丁肝,7,0
戊肝,318,0
肝炎（未分型）,82,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,13,0
出血热,11,0
狂犬病,0,0
乙脑,3,0
登革热,43,0
炭疽,0,0
痢疾,46,0
肺结核,6120,11
伤寒+副伤寒,81,0
流脑,1,0
百日咳,582,0
白喉,0,0
新生儿破伤风,0,0
猩红热,205,0
布病,90,0
淋病,2380,0
梅毒,8159,0
钩体病,10,0
血吸虫病,0,0
疟疾,18,0
人感染H7N9禽流感,0,0
新冠病毒感染,24248,0
丙类合计,156341,0
流行性感冒,14852,0
流行性腮腺炎,958,0
风疹,23,0
急性出血性结膜炎,3268,0
麻风病,2,0
斑疹伤寒,37,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,16270,0
手足口病,120931,0
