0,1,2
疾病病种,本期发病数,本期死亡数
甲乙丙类总计,330474,137
甲乙类合计,130761,137
鼠疫,0,0
霍乱,1,0
传染性非典,0,0
艾滋病,419,98
肝炎,21257,24
甲肝,133,0
乙肝,18412,5
丙肝,2417,19
丁肝,6,0
戊肝,235,0
肝炎（未分型）,54,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,16,0
出血热,11,0
狂犬病,0,0
乙脑,0,0
登革热,10,0
炭疽,0,0
痢疾,67,0
肺结核,5796,15
伤寒+副伤寒,89,0
流脑,2,0
百日咳,257,0
白喉,0,0
新生儿破伤风,1,0
猩红热,256,0
布病,73,0
淋病,2052,0
梅毒,6851,0
钩体病,3,0
血吸虫病,0,0
疟疾,18,0
人感染H7N9禽流感,0,0
新冠病毒感染,93582,0
丙类合计,199713,0
流行性感冒,11823,0
流行性腮腺炎,1193,0
风疹,8,0
急性出血性结膜炎,1030,0
麻风病,4,0
斑疹伤寒,18,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,14126,0
手足口病,171511,0
