疾病病种,发病数,死亡数,date,year,month,url
合计,300186.0,934.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
鼠疫,0.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
霍乱,2.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
传染性非典型肺炎,0.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
艾滋病,521.0,89.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
病毒性肝炎,118237.0,110.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
甲肝,6500.0,2.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
乙肝,98200.0,82.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
丙肝,5792.0,11.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
戊肝,1212.0,3.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
肝炎（未分型）,6533.0,12.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
脊髓灰质炎,0.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
人感染高致病性禽流感,4.0,3.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
麻疹,6921.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
出血热,2635.0,43.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
狂犬病,264.0,311.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
流行性乙型脑炎,152.0,1.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
登革热,0.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
炭疽,18.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
细菌性和阿米巴性痢疾,17376.0,8.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
肺结核,116859.0,312.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
伤寒+副伤寒,2683.0,1.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
流行性脑脊髓膜炎,207.0,18.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
百日咳,222.0,0.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
新生儿破伤风,245.0,27.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
猩红热,3087.0,1.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
布病,712.0,1.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
淋病,15343.0,1.0,2005-12,2005,12,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_1943706.html
