0,1,2
病名,发病数,死亡数
甲乙丙类总计,43890,132
甲乙类传染病合计,17428,131
鼠 疫,0,0
霍 乱,0,0
传染性非典,0,0
艾滋病,198,122
病毒性肝炎,7910,0
甲型肝炎,22,0
乙型肝炎,5686,0
丙型肝炎,2112,0
丁型肝炎,2,0
戊型肝炎,51,0
肝炎未分型,37,0
脊 灰,0,0
人禽流感,0,0
麻 疹,83,0
出 血 热,7,0
狂 犬 病,7,6
乙脑,2,0
登革热,4,0
炭 疽,0,0
细菌性和阿米巴性痢疾,1664,0
肺结核,5342,3
伤寒和副伤寒,11,0
流 脑,1,0
百 日 咳,17,0
白 喉,0,0
新生儿破伤风,1,0
猩 红 热,120,0
布 病,521,0
淋 病,256,0
梅 毒,1270,0
钩 体 病,0,0
血吸虫病,0,0
疟疾,14,0
人感染H7N9禽流感,0,0
丙类传染病合计,26462,1
流行性感冒,1238,0
流行性腮腺炎,1663,0
风疹,16,0
急性出血性结膜炎,343,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,4,0
丝虫病,0,0
其它感染性腹泻病,6063,0
手足口病,17135,1
