0,1,2
病名,发病数,死亡数
甲乙丙类总计,30525,134
甲乙类传染病合计,19286,133
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,248,121
病毒性肝炎,10088,4
甲型肝炎,25,0
乙型肝炎,7285,2
丙型肝炎,2673,2
丁型肝炎,2,0
戊型肝炎,73,0
肝炎未分型,30,0
脊灰,0,0
人禽流感,0,0
麻疹,20,0
出血热,8,0
狂犬病,5,2
乙脑,0,0
登革热,1,0
炭疽,0,0
细菌性和阿米巴性痢疾,732,0
肺结核,6172,3
伤寒和副伤寒,11,0
流脑,2,0
百日咳,11,0
白喉,0,0
新生儿破伤风,1,0
猩红热,108,0
布病,262,0
淋病,268,0
梅毒,1325,0
钩体病,0,0
血吸虫病,0,0
疟疾,16,0
人感染H7N9禽流感,8,3
丙类传染病合计,11239,1
流行性感冒,2346,1
流行性腮腺炎,2061,0
风疹,45,0
急性出血性结膜炎,285,0
麻风病,1,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,3755,0
手足口病,2745,0
