0,1,2
病名,发病数,死亡数
甲乙丙类总计,23694,123
甲乙类传染病合计,16222,122
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,261,115
病毒性肝炎,8235,0
甲型肝炎,13,0
乙型肝炎,6025,0
丙型肝炎,2159,0
丁型肝炎,0,0
戊型肝炎,28,0
肝炎未分型,10,0
脊灰,0,0
人禽流感,0,0
麻疹,0,0
出血热,13,0
狂犬病,1,0
乙脑,0,0
登革热,0,0
炭疽,0,0
细菌性和阿米巴性痢疾,716,0
肺结核,4721,6
伤寒和副伤寒,6,0
流脑,1,0
百日咳,4,0
白喉,0,0
新生儿破伤风,0,0
猩红热,13,0
布病,340,0
淋病,254,0
梅毒,1655,1
钩体病,0,0
血吸虫病,0,0
疟疾,2,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,0,0
丙类传染病合计,7472,1
流行性感冒,1477,1
流行性腮腺炎,619,0
风疹,1,0
急性出血性结膜炎,229,0
麻风病,2,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,5007,0
手足口病,136,0
